Setor;Codigo;Acao;Tipo;Qtde;Peso;Peso Acum
Bens Indls / Máqs e Equips;WEGE3;WEG;ON      NM;1.482.105.837;2,913;2,913
Bens Indls / Mat Transporte;EMBR3;EMBRAER;ON      NM;734.632.601;1,391;1,391
Bens Indls/Transporte;AZUL4;AZUL;PN      N2;332.825.777;0,154;1,96
Bens Indls/Transporte;CCRO3;CCR SA;ON      NM;995.335.937;0,585;1,96
Bens Indls/Transporte;RAIL3;RUMO S.A.;ON      NM;1.218.352.541;1,221;1,96
Cons N  Básico / Alimentos Processados;BRFS3;BRF SA;ON      NM;835.221.269;0,789;2,917
Cons N  Básico / Alimentos Processados;JBSS3;JBS;ON      NM;1.134.986.472;1,647;2,917
Cons N  Básico / Alimentos Processados;MRFG3;MARFRIG;ON      NM;331.799.687;0,177;2,917
Cons N  Básico / Alimentos Processados;BEEF3;MINERVA;ON      NM;261.036.182;0,082;2,917
Cons N  Básico / Alimentos Processados;SMTO3;SAO MARTINHO;ON      NM;142.348.116;0,222;2,917
Cons N Cíclico / Bebidas;ABEV3;AMBEV S/A;ON;4.394.245.879;2,505;2,505
Cons N Cíclico / Comércio Distr.;ASAI3;ASSAI;ON      NM;1.349.217.892;0,798;1,114
Cons N Cíclico / Comércio Distr.;CRFB3;CARREFOUR BR;ON      NM;533.990.587;0,258;1,114
Cons N Cíclico / Comércio Distr.;PCAR3;P.ACUCAR-CBD;ON      NM;379.400.826;0,058;1,114
Cons N Cíclico / Pr Pessoal Limp;NTCO3;GRUPO NATURA;ON      NM;849.346.756;0,637;0,637
Cons N Ciclico/Agropecuária;SLCE3;SLC AGRICOLA;ON      NM;194.217.908;0,174;0,174
Consumo Cíclico / Comércio;ARZZ3;AREZZO CO;ON      NM;62.305.891;0,159;1,184
Consumo Cíclico / Comércio;SOMA3;GRUPO SOMA;ON      NM;496.029.967;0,148;1,184
Consumo Cíclico / Comércio;LREN3;LOJAS RENNER;ON      NM;951.452.770;0,617;1,184
Consumo Cíclico / Comércio;MGLU3;MAGAZ LUIZA;ON      NM;351.757.412;0,204;1,184
Consumo Cíclico / Comércio;PETZ3;PETZ;ON      NM;314.729.428;0,056;1,184
Consumo Cíclico / Tecid Vest Calç;ALPA4;ALPARGATAS;PN      N1;166.362.038;0,077;0,207
Consumo Cíclico / Tecid Vest Calç;VIVA3;VIVARA S.A.;ON      NM;125.912.025;0,13;0,207
Consumo Cíclico/Constr Civil;CYRE3;CYRELA REALT;ON      NM;265.784.616;0,256;0,448
Consumo Cíclico/Constr Civil;EZTC3;EZTEC;ON      NM;91.514.307;0,062;0,448
Consumo Cíclico/Constr Civil;MRVE3;MRV;ON      NM;375.130.280;0,13;0,448
Consumo Cíclico/Viagens e Lazer;CVCB3;CVC BRASIL;ON      NM;525.582.771;0,054;0,054
Diversos;COGN3;COGNA ON;ON      NM;1.814.903.540;0,154;2,254
Diversos;RENT3;LOCALIZA;ON      NM;854.504.168;1,751;2,254
Diversos;VAMO3;VAMOS;ON      NM;498.860.020;0,185;2,254
Diversos;YDUQ3;YDUQS PART;ON      NM;289.347.914;0,164;2,254
Financ e Outros / Explor Imóveis;ALOS3;ALLOS;ON      NM;532.616.595;0,562;1,084
Financ e Outros / Explor Imóveis;IGTI11;IGUATEMI S.A;UNT     N1;217.622.138;0,216;1,084
Financ e Outros / Explor Imóveis;MULT3;MULTIPLAN;ON      N2;268.505.432;0,306;1,084
Financ e Outros / Holdings Divers;ITSA4;ITAUSA;PN      N1;5.560.910.983;2,698;2,698
Financ e Outros / Interms Financs;BBDC3;BRADESCO;ON      N1;1.489.259.656;0,859;17,829
Financ e Outros / Interms Financs;BBDC4;BRADESCO;PN      N1;5.135.772.281;3,341;17,829
Financ e Outros / Interms Financs;BBAS3;BRASIL;ON  EDJ NM;2.842.247.534;3,812;17,829
Financ e Outros / Interms Financs;BPAC11;BTGP BANCO;UNT     N2;1.150.645.866;1,861;17,829
Financ e Outros / Interms Financs;ITUB4;ITAUUNIBANCO;PN      N1;4.740.126.023;7,485;17,829
Financ e Outros / Interms Financs;SANB11;SANTANDER BR;UNT;342.918.449;0,471;17,829
Financ e Outros / Previd  Seguros;BBSE3;BBSEGURIDADE;ON      NM;671.750.768;1,106;1,238
Financ e Outros / Previd  Seguros;IRBR3;IRBBRASIL RE;ON      NM;81.838.843;0,132;1,238
Financeiro e Outros/Serviços Financeiros Diversos;B3SA3;B3;ON      NM;5.602.790.110;2,946;3,259
